camis,dba,boro,street,zipcode,cuisine_description
41721917,LA GITANA 3 PANADERIA Y RESTAURANTE,QUEENS,JAMAICA AVENUE,11421,Spanish
41625337,C & J II JAMAICAN RESTAURANT & BAKERY,BROOKLYN,FLATBUSH AVENUE,11226,Caribbean
41706074,MEI YU SPRING RESTAURANT,MANHATTAN,CATHERINE STREET,10038,Chinese
41294017,DUKE'S,MANHATTAN,2ND  AVENUE,,American
40999287,IL COLOSSEO,BROOKLYN,18 AVENUE,11214,Italian
50019242,RICHNESS  RESTAURANT,BROOKLYN,RUTLAND RD,11212,Caribbean
50010034,EL CHEVERE CUCHIFRITOS BAKERY,MANHATTAN,3RD AVE,10029,Spanish
41699217,RANDALL MANOR TAVERN,STATEN ISLAND,CASTLETON AVENUE,10310,American
41313605,PAPA JOHN'S DELI,BRONX,CITY ISLAND AVENUE,10464,Sandwiches
50036222,ASTORIA CRAFT BAR & KITCHEN,QUEENS,26TH RD,11102,American
40941045,MARIO'S RESTAURANT,BRONX,ARTHUR AVENUE,10458,Italian
41574945,CARIBBEAN VIBES JAMAICAN RESTAURANT AND BAKERY,BROOKLYN,NOSTRAND AVENUE,11226,Caribbean
50039445,GUCKENHEIMER @ TWITTER NYC COFFEE BAR,MANHATTAN,W 17TH ST,10011,Caf̩/Coffee/Tea
50072316,BUTTERCUP BAKE SHOP,MANHATTAN,2ND AVE,10022,Bakery
50009827,PIO BAGEL,BROOKLYN,LAWRENCE ST,11201,Bagels/Pretzels
50004312,KFC,MANHATTAN,E 14TH ST,10003,Chicken
50016362,Git-It-N-Git,BROOKLYN,BERGEN ST,11213,Seafood
50043221,CHARTER COFFEE AND CUTS,BROOKLYN,GRAHAM AVE,11211,Caf̩/Coffee/Tea
50058591,GOTAN,BROOKLYN,WYTHE AVE,11249,American
50009047,IZAKAYA NOMAD,MANHATTAN,W 26TH ST,10010,Japanese
41086967,IL SOLE,MANHATTAN,DYCKMAN STREET,,Italian
